id,gloss,pos,official,predicted,norm_edit,branch_cov,n_langs
3942,"content, table of contents",noun,sȯdŕžańje,sȯdȯržanje,0.100,2,15
4475,"advise, counsel",verb,sȯvětovati,savetovati,0.100,2,17
5902,"modern, contemporary",adj,sȯvrěmenny,sovremeny,0.100,2,17
20169,ruin,verb,sruinovati,zruinovati,0.100,2,20
18912,shooting range,noun,strělišče,strelbišče,0.100,1,18
15044,"hold back, inhibit",verb,strimyvati,strimovati,0.100,2,26
20190,study,verb,studiovati,studovati,0.100,2,13
36707,interlocutor,noun,sųbesědnik,sȯbesednik,0.100,2,20
23688,sixtieth,num,šesťdesęty,šestdeset,0.100,3,11
15592,sextuplets,noun,šesterčęta,šesterčata,0.100,1,13
4399,"television, TV",noun,televizija,tlevizija,0.100,3,16
13286,"nationalise, nationalize",verb,unarodniti,znarodniti,0.100,1,9
13292,"prevent, make impossible",verb,unemožniti,znemožniti,0.100,1,18
19066,"liken, make similar, assimilate",verb,upodobniti,upodobiti,0.100,1,21
13332,"administer, rule, govern, manage, operate",verb,upravjati,upravljati,0.100,2,20
